CITIZEN,GEO,Y2015M01,Y2015M02,Y2015M03,Y2015M04,Y2015M05,Y2015M06,Y2015M07,Y2015M08,Y2015M09,Y2015M10,Y2015M11,Y2015M12
Denmark,UK,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Austria,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Belgium,10,10,15,5,5,5,15,20,10,10,5,
Djibouti,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Denmark,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Finland,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,France,5,5,15,10,10,5,10,10,25,5,,
Djibouti,Germany,0,0,0,0,5,0,0,0,5,0,0,0
Djibouti,Greece,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Hungary,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Ireland,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Italy,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Malta,0,0,0,0,0,0,0,0,0,,,
Djibouti,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,Poland,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Portugal,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Romania,0,0,0,0,0,0,0,0,0,0,,
Djibouti,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Djibouti,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,Spain,0,0,0,0,0,0,0,0,0,,,
Djibouti,Sweden,5,5,0,0,5,0,5,5,5,0,5,
Djibouti,Switzerland,0,0,5,0,0,0,0,0,0,0,5,
Djibouti,UK,0,0,0,0,0,0,0,0,0,0,,
Dominica,Austria,0,0,0,0,0,0,0,0,0,0,,
Dominica,Belgium,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Dominica,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Dominica,Denmark,0,0,0,0,0,0,0,0,0,0,,
Dominica,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Finland,0,0,0,0,0,0,0,0,0,0,0,
Dominica,France,0,0,0,0,5,0,0,0,5,0,,
Dominica,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Greece,0,0,0,0,0,0,0,0,0,0,,
Dominica,Hungary,0,0,0,0,0,0,0,5,0,0,0,
Dominica,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Ireland,0,0,0,0,0,0,0,0,0,0,,
Dominica,Italy,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Dominica,Malta,0,0,0,0,0,0,0,0,0,,,
Dominica,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Dominica,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Poland,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Portugal,0,0,0,0,0,0,0,0,0,0,,
Dominica,Romania,0,0,0,0,0,0,0,0,0,0,,
Dominica,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Spain,0,0,0,0,0,0,0,0,0,,,
Dominica,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Dominica,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Dominica,UK,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Austria,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Belgium,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Denmark,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Finland,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,France,20,5,35,35,15,35,40,45,50,40,,
Dominican Rep.,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,Greece,0,5,0,5,5,5,5,5,5,0,,
Dominican Rep.,Hungary,0,0,0,0,0,0,0,10,5,0,0,
Dominican Rep.,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Ireland,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Italy,0,0,0,5,0,0,0,0,0,0,0,
Dominican Rep.,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Malta,0,0,0,0,0,0,0,0,0,,,
Dominican Rep.,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,Poland,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Portugal,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Romania,0,0,0,0,0,0,0,0,0,0,,
Dominican Rep.,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Rep.,Spain,0,0,10,0,15,15,90,105,25,,,
Dominican Rep.,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Dominican Rep.,UK,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Austria,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Belgium,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Denmark,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Finland,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,France,0,0,0,0,0,0,0,5,0,0,,
Ecuador,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Greece,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Hungary,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Ireland,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Italy,0,0,0,5,0,0,0,0,0,0,0,
Ecuador,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Malta,0,0,0,0,0,0,0,0,0,,,
Ecuador,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Poland,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Portugal,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Romania,0,0,0,0,0,0,0,0,0,0,,
Ecuador,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Spain,0,5,0,0,0,0,0,0,0,,,
Ecuador,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Ecuador,UK,0,0,0,0,0,0,0,0,0,0,,
Egypt,Austria,10,10,5,10,15,35,20,15,10,20,,
Egypt,Belgium,5,10,10,10,0,5,5,10,5,5,0,
Egypt,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Cyprus,5,5,10,5,5,5,10,0,15,10,,
Egypt,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Egypt,Denmark,5,0,0,0,0,10,0,0,5,0,,
Egypt,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Finland,0,0,5,0,0,0,0,0,10,0,0,
Egypt,France,30,25,25,40,15,30,15,30,30,35,,
Egypt,Germany,125,90,100,90,85,105,90,55,65,85,95,85
Egypt,Greece,10,15,20,10,15,20,15,20,30,55,,
Egypt,Hungary,0,5,0,5,20,15,10,15,15,0,0,
Egypt,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Ireland,0,0,0,0,0,0,0,0,5,0,,
Egypt,Italy,50,50,55,40,30,25,45,30,65,70,80,
Egypt,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Egypt,Malta,0,0,0,0,0,0,5,0,10,,,
Egypt,Netherlands,10,15,15,5,10,10,10,10,10,10,,
Egypt,Norway,15,0,0,0,5,5,5,0,10,85,210,0
Egypt,Poland,0,0,0,0,0,0,0,5,0,0,5,
Egypt,Portugal,0,0,0,0,0,0,0,0,0,0,,
Egypt,Romania,0,0,0,0,0,0,0,0,0,0,,
Egypt,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Egypt,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Spain,0,0,0,0,0,5,0,5,5,,,
Egypt,Sweden,35,15,20,20,20,20,55,35,40,50,60,
Egypt,Switzerland,5,10,10,5,5,10,5,10,5,10,10,
Egypt,UK,30,30,30,10,35,25,30,30,40,30,,
El Salvador,Austria,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Belgium,0,0,5,0,0,5,5,5,0,5,10,
El Salvador,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Croatia,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Cyprus,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Denmark,0,0,0,0,0,5,0,0,0,0,,
El Salvador,Estonia,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Finland,0,0,0,0,0,5,0,0,0,0,0,
El Salvador,France,0,0,0,10,0,0,0,5,0,0,,
El Salvador,Germany,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Greece,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Hungary,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Iceland,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Ireland,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Italy,10,10,10,10,15,15,20,5,20,35,30,
El Salvador,Latvia,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Malta,0,0,0,0,0,0,0,0,0,,,
El Salvador,Netherlands,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Norway,0,0,5,0,0,0,0,0,0,0,0,0
El Salvador,Poland,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Portugal,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Romania,0,0,0,0,0,0,0,0,0,0,,
El Salvador,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,Spain,0,5,0,10,5,15,0,5,20,,,
El Salvador,Sweden,10,15,15,15,5,15,15,15,5,20,15,
El Salvador,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,UK,0,5,0,0,0,0,0,0,5,0,,
Equatorial Guinea,Austria,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Belgium,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Denmark,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Finland,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,France,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Greece,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Hungary,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Ireland,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Italy,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Malta,0,0,0,0,0,0,0,0,0,,,
Equatorial Guinea,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Poland,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Portugal,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Romania,0,0,0,0,0,0,0,0,0,0,,
Equatorial Guinea,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,Spain,0,0,0,0,0,0,0,0,0,,,
Equatorial Guinea,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,UK,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Austria,5,0,5,15,10,15,10,5,5,5,,
Eritrea,Belgium,15,10,20,40,60,35,25,40,45,45,10,
Eritrea,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Denmark,5,10,25,75,215,225,230,360,255,200,,
Eritrea,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Finland,0,0,5,0,0,0,5,10,5,5,5,
Eritrea,France,75,75,75,85,195,100,75,0,0,0,,
Eritrea,Germany,710,415,375,435,660,1120,1325,1215,1315,1415,1310,700
Eritrea,Greece,15,5,10,5,10,10,5,0,0,5,,
Eritrea,Hungary,15,0,15,45,40,35,195,170,25,0,0,
Eritrea,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Ireland,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Italy,35,40,40,25,15,40,25,25,20,210,120,
Eritrea,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Luxembourg,0,5,5,5,5,5,10,5,5,0,,
Eritrea,Malta,5,5,5,5,5,0,0,0,10,,,
Eritrea,Netherlands,30,25,85,360,1080,1250,995,1280,770,1105,,
Eritrea,Norway,55,40,55,145,595,230,290,445,410,480,150,55
Eritrea,Poland,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Portugal,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Romania,0,0,0,0,0,0,0,0,0,0,,
Eritrea,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Spain,0,0,0,0,0,0,0,0,0,,,
Eritrea,Sweden,220,210,285,470,1105,1055,910,910,815,800,265,
Eritrea,Switzerland,145,160,255,230,805,2200,2130,1610,1385,600,270,
Eritrea,UK,310,205,195,90,270,410,565,425,395,615,,
Estonia,Austria,0,0,0,0,0,0,0,0,0,0,,
Estonia,Belgium,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Estonia,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Estonia,Denmark,0,0,0,0,0,0,0,0,0,0,,
Estonia,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Finland,0,0,0,0,0,0,0,0,0,0,0,
Estonia,France,0,0,0,0,0,0,0,0,0,0,,
Estonia,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Greece,0,0,0,0,0,0,0,0,0,0,,
Estonia,Hungary,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Ireland,0,0,0,0,0,0,0,0,0,0,,
Estonia,Italy,,,,,,,,0,0,0,0,
Estonia,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Estonia,Malta,0,0,0,0,0,0,0,0,0,,,
Estonia,Netherlands,0,0,0,0,0,0,0,0,0,0,,
Estonia,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Poland,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Portugal,0,0,0,0,0,0,0,0,0,0,,
Estonia,Romania,0,0,0,0,0,0,0,0,0,0,,
Estonia,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Spain,0,0,0,0,0,0,0,0,0,,,
Estonia,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Estonia,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Estonia,UK,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Austria,10,0,5,5,0,10,15,15,0,0,,
Ethiopia,Belgium,5,0,5,5,10,15,15,15,0,5,0,
Ethiopia,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Denmark,5,5,5,5,5,5,5,0,5,10,,
Ethiopia,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Finland,5,0,0,5,0,10,5,20,20,5,5,
Ethiopia,France,15,20,30,30,40,40,50,45,35,45,,
Ethiopia,Germany,135,90,70,115,120,315,255,165,210,240,250,210
Ethiopia,Greece,5,0,5,10,5,10,5,0,0,5,,
Ethiopia,Hungary,0,0,5,0,5,5,5,15,5,0,0,
Ethiopia,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Ireland,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Italy,10,5,0,5,5,15,5,5,5,5,10,
Ethiopia,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Malta,5,0,0,0,0,0,0,0,0,,,
Ethiopia,Netherlands,5,5,10,15,10,10,25,25,10,20,,
Ethiopia,Norway,20,35,50,35,70,60,50,60,115,85,70,25
Ethiopia,Poland,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Portugal,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Romania,0,0,0,0,0,0,0,0,0,0,,
Ethiopia,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Ethiopia,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Spain,0,0,0,0,0,5,0,0,0,,,
Ethiopia,Sweden,60,40,70,55,125,185,135,185,225,260,190,
Ethiopia,Switzerland,10,25,30,25,65,95,85,65,85,55,40,
Ethiopia,UK,45,20,20,25,120,115,120,80,50,95,,
Macedonia,Austria,20,10,10,10,60,55,55,20,0,5,,
Macedonia,Belgium,30,40,50,10,30,40,20,35,40,15,5,
Macedonia,Bulgaria,0,0,0,0,0,0,0,0,5,0,0,
Macedonia,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Denmark,0,0,0,0,0,5,0,5,0,10,,
Macedonia,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Finland,5,0,15,5,5,5,0,5,5,5,0,
Macedonia,France,25,15,50,20,30,10,45,35,35,35,,
Macedonia,Germany,960,975,1240,1000,1060,1555,2000,1495,1380,1090,900,470
Macedonia,Greece,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Hungary,0,0,5,5,0,5,0,0,0,0,0,
Macedonia,Iceland,0,0,0,0,0,5,0,5,5,5,5,
Macedonia,Ireland,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Italy,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,Luxembourg,5,5,5,0,5,0,5,0,0,5,,
Macedonia,Malta,0,0,0,0,5,5,0,0,0,,,
Macedonia,Netherlands,0,10,10,0,10,20,10,15,5,10,,
Macedonia,Norway,5,5,5,0,0,0,10,5,0,10,5,0
Macedonia,Poland,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Portugal,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Romania,0,0,0,0,0,0,0,0,0,0,,
Macedonia,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Macedonia,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,Spain,0,0,0,0,0,0,0,0,0,,,
Macedonia,Sweden,35,55,45,30,25,50,45,45,40,45,35,
Macedonia,Switzerland,10,10,10,15,20,30,20,5,25,5,10,
Macedonia,UK,0,0,0,0,0,0,0,0,0,0,,
France,Austria,0,0,0,0,0,0,0,0,0,0,,
France,Belgium,0,0,0,0,0,0,0,0,0,0,0,
France,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
France,Croatia,0,0,0,0,0,0,0,0,0,0,0,
France,Cyprus,0,0,0,0,0,0,0,0,0,0,,
France,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
France,Denmark,0,0,0,0,0,0,0,0,0,0,,
France,Estonia,0,0,0,0,0,0,0,0,0,0,0,
France,Finland,0,0,0,0,0,0,0,0,0,0,0,
France,France,0,0,0,0,0,0,0,0,0,0,,
France,Germany,0,0,0,0,0,0,0,0,0,0,0,0
France,Greece,0,0,0,0,0,0,0,0,0,0,,
France,Hungary,0,0,0,0,0,0,0,0,0,0,0,
France,Iceland,0,0,0,0,0,0,0,0,0,0,0,
France,Ireland,0,0,0,0,0,0,0,0,0,0,,
France,Italy,,,,,,,,0,0,0,0,
France,Latvia,0,0,0,0,0,0,0,0,0,0,0,
France,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
France,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
France,Malta,0,0,0,0,0,0,0,0,0,,,
France,Netherlands,0,0,0,0,0,0,0,0,0,0,,
France,Norway,0,0,0,0,0,0,0,0,0,0,0,0
France,Poland,0,0,0,0,0,0,0,0,0,0,0,
France,Portugal,0,0,0,0,0,0,0,0,0,0,,
France,Romania,0,0,0,0,0,0,0,0,0,0,,
France,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
France,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
France,Spain,0,0,0,0,0,0,0,0,0,,,
France,Sweden,0,0,0,0,0,0,0,0,0,0,0,
France,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
France,UK,0,0,0,0,0,0,0,0,0,0,,
Gabon,Austria,0,0,0,0,0,0,0,0,0,0,,
Gabon,Belgium,0,0,0,0,0,5,0,5,0,0,0,
Gabon,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Gabon,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Gabon,Denmark,0,0,0,0,0,0,0,0,0,0,,
Gabon,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Finland,0,0,0,0,0,0,0,0,0,0,0,
Gabon,France,0,5,5,10,10,5,5,5,10,10,,
Gabon,Germany,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Greece,0,0,0,0,0,0,0,0,0,0,,
Gabon,Hungary,0,0,0,0,5,0,0,0,0,0,0,
Gabon,Iceland,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Ireland,0,0,0,0,0,0,0,0,0,0,,
Gabon,Italy,0,0,0,0,5,0,0,0,0,0,5,
Gabon,Latvia,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Luxembourg,0,0,0,0,0,0,0,0,0,0,,
Gabon,Malta,0,0,0,0,0,0,0,0,0,,,
Gabon,Netherlands,0,0,0,0,0,0,0,0,0,5,,
Gabon,Norway,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Poland,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Portugal,0,0,0,0,0,0,0,0,0,0,,
Gabon,Romania,0,0,0,0,0,0,0,0,0,0,,
Gabon,Slovakia,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,Spain,0,0,0,0,0,0,0,0,0,,,
Gabon,Sweden,0,0,0,0,0,0,0,0,0,0,0,
Gabon,Switzerland,0,0,0,0,0,0,0,0,0,0,0,
Gabon,UK,0,0,0,0,0,0,0,0,0,0,,
Gambia,Austria,15,5,15,20,15,25,10,15,25,20,,
Gambia,Belgium,10,5,10,10,5,5,10,5,5,5,0,
Gambia,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,
Gambia,Croatia,0,0,0,0,0,0,0,0,0,0,0,
Gambia,Cyprus,0,0,0,0,0,0,0,0,0,0,,
Gambia,Czech Rep.,0,0,0,0,0,0,0,0,0,0,,
Gambia,Denmark,5,0,0,0,0,0,0,5,0,0,,
Gambia,Estonia,0,0,0,0,0,0,0,0,0,0,0,
Gambia,Finland,5,10,0,0,5,0,5,5,5,5,5,
Gambia,France,10,15,15,10,10,15,15,10,15,20,,
